person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,faixa_etaria
59000,RENT,123.0,PERSONAL,D,35000,16.02,1,0.59,Y,3,20-29
9600,OWN,5.0,EDUCATION,B,1000,11.14,0,0.1,N,2,20-29
9600,MORTGAGE,1.0,MEDICAL,C,5500,12.87,1,0.57,N,3,20-29
65500,RENT,4.0,MEDICAL,C,35000,15.23,1,0.53,N,2,20-29
54400,RENT,8.0,MEDICAL,C,35000,14.27,1,0.55,Y,4,20-29
9900,OWN,2.0,VENTURE,A,2500,7.14,1,0.25,N,2,20-29
77100,RENT,8.0,EDUCATION,B,35000,12.42,1,0.45,N,3,20-29
78956,RENT,5.0,MEDICAL,B,35000,11.11,1,0.44,N,4,20-29
83000,RENT,8.0,PERSONAL,A,35000,8.9,1,0.42,N,2,20-29
10000,OWN,6.0,VENTURE,D,1600,14.74,1,0.16,N,3,20-29
85000,RENT,6.0,VENTURE,B,35000,10.37,1,0.41,N,4,20-29
10000,OWN,2.0,HOMEIMPROVEMENT,A,4500,8.63,1,0.45,N,2,20-29
95000,RENT,2.0,VENTURE,A,35000,7.9,1,0.37,N,2,20-29
108160,RENT,4.0,EDUCATION,E,35000,18.39,1,0.32,N,4,20-29
115000,RENT,2.0,EDUCATION,A,35000,7.9,0,0.3,N,4,20-29
500000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,30000,10.65,0,0.06,N,3,20-29
120000,RENT,0.0,EDUCATION,A,35000,7.9,0,0.29,N,4,20-29
92111,RENT,7.0,MEDICAL,F,35000,20.25,1,0.32,N,4,20-29
113000,RENT,8.0,DEBTCONSOLIDATION,D,35000,18.25,1,0.31,N,4,20-29
10800,MORTGAGE,8.0,EDUCATION,B,1750,10.99,1,0.16,N,2,20-29
162500,RENT,2.0,VENTURE,A,35000,7.49,0,0.22,N,4,20-29
137000,RENT,9.0,PERSONAL,E,34800,16.77,0,0.25,Y,2,20-29
65000,RENT,4.0,EDUCATION,D,34000,17.58,1,0.52,N,4,20-29
10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3,20-29
80000,RENT,3.0,PERSONAL,D,33950,14.54,1,0.42,Y,4,20-29
67746,RENT,8.0,HOMEIMPROVEMENT,C,33000,12.68,1,0.49,N,3,20-29
11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3,20-29
11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3,20-29
65000,RENT,6.0,HOMEIMPROVEMENT,B,32500,9.99,1,0.5,N,3,20-29
11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2,20-29
11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3,20-29
120000,RENT,2.0,VENTURE,A,32000,6.62,0,0.27,N,2,20-29
95000,RENT,7.0,HOMEIMPROVEMENT,C,31050,14.17,1,0.33,Y,3,20-29
306000,RENT,2.0,DEBTCONSOLIDATION,C,24250,13.85,0,0.08,N,3,20-29
300000,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4,20-29
12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4,20-29
48000,RENT,1.0,EDUCATION,E,30000,18.39,1,0.63,N,2,20-29
64000,RENT,8.0,DEBTCONSOLIDATION,D,30000,14.54,1,0.47,Y,3,20-29
75000,RENT,4.0,HOMEIMPROVEMENT,D,30000,16.89,1,0.4,Y,4,20-29
